	Year	Title	Genre	Country	Popularity	Budget
0	1950	Annie Get Your Gun	Action|Comedy|Music|Romance|Western	United States of America	1.726175	3768785
1	1951	A Streetcar Named Desire	Drama	United States of America	14.884756	1800000
2	1952	Singin' in the Rain	Comedy|Music|Romance	United States of America	36.556954	2540800
3	1953	From Here to Eternity	War|Drama|Romance	United States of America	6.915201	1650000
4	1954	Seven Samurai	Action|Drama	Japan	39.756747999999995	2000000
5	1955	Ordet	Drama	Denmark	3.225189	0
6	1956	Moby Dick	Adventure|Drama	United States of America	5.224593	4500000
7	1957	12 Angry Men	Drama	United States of America	59.259204000000004	350000
8	1958	Cat on a Hot Tin Roof	Drama|Romance	United States of America	16.553594	3000000
9	1959	Some Like It Hot	Comedy|Romance	United States of America	39.30982	2883848
10	1960	Psycho	Drama|Horror|Thriller	United States of America	93.06786600000001	806948
11	1961	Judgment at Nuremberg	Drama|History	Germany	13.338539	3000000
12	1962	To Kill a Mockingbird	Crime|Drama	United States of America	22.139842	2000000
13	1963	The Great Escape	Adventure|Drama|History|Thriller|War	United States of America	35.061467	4000000
14	1964	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Drama|Comedy|War	United Kingdom	41.996783	1800000
15	1965	Pierrot le Fou	Drama|Thriller	France	7.791898	300000
16	1966	The Good, the Bad and the Ugly	Western	United States of America	88.377076	1200000
17	1967	In Cold Blood	Crime|Drama	United States of America	7.821438000000001	3500000
18	1968	Once Upon a Time in the West	Western	Italy	49.333137	5000000
19	1969	The Wild Bunch	Adventure|Western	United States of America	14.970654000000001	6244087
20	1970	The Conformist	Drama	Italy	8.429295	750000
21	1971	The French Connection	Action|Crime|Thriller	United States of America	15.978136	1800000
22	1972	The Godfather	Drama|Crime	United States of America	143.659698	6000000
23	1973	The Sting	Comedy|Crime|Drama	United States of America	28.500913	5500000
24	1974	The Godfather: Part II	Drama|Crime	United States of America	105.79293600000001	13000000
25	1975	One Flew Over the Cuckoo's Nest	Drama	United States of America	127.525581	3000000
26	1976	Taxi Driver	Crime|Drama	United States of America	58.845025	1300000
27	1977	Star Wars	Adventure|Action|Science Fiction	United States of America	126.393695	11000000
28	1978	The Last Waltz	Documentary|Music	United States of America	3.2772870000000003	0
29	1979	Apocalypse Now	Drama|War	United States of America	49.973462	31500000
30	1980	The Empire Strikes Back	Adventure|Action|Science Fiction	United States of America	78.51783	18000000
31	1981	Das Boot	Action|Drama|History|War|Adventure	Germany	26.967494	14000000
32	1982	Blade Runner	Science Fiction|Drama|Thriller	United States of America	94.05613100000001	28000000
33	1983	Scarface	Action|Crime|Drama|Thriller	United States of America	70.105981	25000000
34	1984	Once Upon a Time in America	Drama|Crime	United States of America	49.336397	30000000
35	1985	Anne of Green Gables	Drama|Family	United States of America	8.772574	0
36	1986	Stand by Me	Crime|Drama	United States of America	51.109279	8000000
37	1987	The Untouchables	Crime|Drama|History|Thriller	United States of America	38.272889	25000000
38	1988	Akira	Science Fiction|Animation	Japan	39.338097	8000000
39	1989	Dead Poets Society	Drama	United States of America	55.458583999999995	16400000
40	1990	GoodFellas	Drama|Crime	United States of America	63.65424399999999	25000000
41	1991	The Silence of the Lambs	Crime|Drama|Thriller	United States of America	18.174804	19000000
42	1992	Reservoir Dogs	Crime|Thriller	United States of America	66.925866	1200000
43	1993	Schindler's List	Drama|History|War	United States of America	104.469351	22000000
44	1994	The Shawshank Redemption	Drama|Crime	United States of America	136.747729	25000000
45	1995	Se7en	Crime|Mystery|Thriller	United States of America	79.579532	33000000
46	1996	Trainspotting	Drama|Crime	United Kingdom	63.513324	4000000
47	1997	Princess Mononoke	Adventure|Fantasy|Animation	Japan	60.732738	26500000
48	1998	Stiff Upper Lips	Comedy	United Kingdom	0.356495	0
49	1999	One Man's Hero	Western|Action|Drama|History	United States of America	0.910529	0
50	2000	Memento	Mystery|Thriller	United States of America	60.715151	9000000
51	2001	Spirited Away	Fantasy|Adventure|Animation|Family	Japan	118.968562	15000000
52	2002	City of God	Drama|Crime	Brazil	44.356711	3300000
53	2003	The Visual Bible: The Gospel of John	Drama|History	Canada	3.2081720000000002	10000000
54	2004	Howl's Moving Castle	Fantasy|Animation|Adventure	Japan	49.549984	24000000
55	2005	Star Wars: Clone Wars: Volume 1	Action|Adventure|Animation|Fantasy|Science Fiction	South Korea	1.881466	0
56	2006	Little Big Top	Comedy	United States of America	0.0921	0
57	2007	There Will Be Blood	Drama	United States of America	37.817904999999996	25000000
58	2008	The Dark Knight	Drama|Action|Crime|Thriller	United Kingdom	187.322927	185000000
59	2009	Inglourious Basterds	Drama|Action|Thriller|War	Germany	72.595961	70000000
60	2010	Inception	Action|Thriller|Science Fiction|Mystery|Adventure	United Kingdom	167.58371	160000000
61	2011	Samsara	Drama|Documentary	United States of America	12.781972999999999	4000000
62	2012	The Hunt	Drama	Denmark	21.826888	3800000
63	2013	Guten Tag, Ramón	Drama	Mexico	1.771584	4000000
64	2014	Whiplash	Drama	United States of America	192.528841	3300000
65	2015	Me You and Five Bucks	Romance|Comedy|Drama		0.094105	1
66	2016	Me Before You	Drama|Romance	United States of America	53.161905000000004	20000000
67	2017	Growing Up Smith	Comedy|Family|Drama		0.71087	0
